iter	Passed	Remaining
272	2443	2031
273	2452	2022
274	2459	2012
275	2466	2002
276	2474	1991
277	2482	1982
278	2489	1972
279	2498	1962
280	2506	1953
281	2514	1944
282	2522	1934
283	2530	1924
284	2538	1915
285	2547	1905
286	2554	1896
287	2563	1887
288	2571	1877
289	2580	1868
290	2588	1859
291	2597	1850
292	2605	1840
293	2613	1830
294	2620	1821
295	2629	1812
296	2637	1802
297	2645	1793
298	2652	1783
299	2661	1774
300	2668	1764
301	2676	1755
302	2685	1745
303	2695	1737
304	2702	1727
305	2711	1718
306	2719	1709
307	2727	1700
308	2735	1690
309	2743	1681
310	2751	1672
311	2759	1662
312	2767	1653
313	2774	1643
314	2782	1634
315	2790	1624
316	2798	1615
317	2805	1605
318	2813	1596
319	2821	1586
320	2829	1577
321	2837	1568
322	2845	1559
323	2853	1549
324	2860	1540
325	2868	1530
326	2874	1520
327	2882	1511
328	2887	1500
329	2892	1489
330	2897	1479
331	2905	1470
332	2913	1460
333	2920	1451
334	2929	1442
335	2938	1434
336	2945	1424
337	2955	1416
338	2963	1407
339	2974	1399
340	2984	1391
341	2992	1382
342	2999	1372
343	3007	1363
344	3014	1354
345	3023	1345
346	3033	1337
347	3041	1328
348	3049	1319
349	3057	1310
350	3065	1301
351	3073	1292
352	3082	1283
353	3089	1274
354	3097	1265
355	3106	1256
356	3114	1247
357	3122	1238
358	3130	1229
359	3138	1220
360	3146	1211
361	3154	1202
362	3161	1193
363	3168	1183
364	3175	1174
365	3183	1165
366	3191	1156
367	3199	1147
368	3207	1138
369	3215	1129
370	3221	1120
371	3226	1110
372	3231	1100
373	3236	1090
374	3245	1081
375	3253	1073
376	3262	1064
377	3270	1055
378	3279	1046
379	3286	1037
380	3295	1029
381	3303	1020
382	3312	1011
383	3319	1002
384	3328	994
385	3336	985
386	3345	976
387	3353	967
388	3363	959
389	3370	950
390	3379	942
391	3387	933
392	3396	924
393	3403	915
394	3411	906
395	3420	898
396	3428	889
397	3436	880
398	3445	872
399	3450	862
400	3455	853
401	3463	844
402	3475	836
403	3484	827
404	3494	819
405	3503	811
406	3512	802
407	3521	794
408	3529	785
409	3538	776
410	3547	768
411	3555	759
412	3563	750
413	3573	742
